"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"631","Bosveldweg 26","5 maart 2019","5 oktober 2020","19 maanden","€ 449.000 kosten koper","€ 2.401","Verkocht",NA,NA,"Bestaande bouw","1993","Zadeldak","187 m²",NA,NA,"721 m³","5 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","2 ligbaden, douche en 2 toiletten","3 woonlagen en een kelder",NA,"Elektra en stromend water",NA,"Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Remeha Quinta, (gas gestookt combiketel uit 2006, eigendom)","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,"Carport en inpandig","Op eigen terrein, openbaar parkeren en parkeergarage",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","89 m²","504 m²","B 1,16 Wat betekent dit?","504 m²","Achtertuin en voortuin","229 m² (0,01 meter diep en 0,01 meter breed)",NA,"1 auto"
"632","Wilgenlaan 44","2 september 2020","21 september 2020","2 weken","€ 419.000 kosten koper","€ 4.365","Verkocht",NA,NA,"Bestaande bouw","1960",NA,"96 m²",NA,"21 m²","336 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen",NA,"Rolluiken","F Wat betekent dit?","Dubbel glas","Cv-ketel",NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","26 m²","301 m²",NA,"301 m²","Achtertuin en voortuin","100 m² (20 meter diep en 5 meter breed)","Gelegen op het zuidwesten",NA
"633","Sint Servatiusweg 38","11 september 2020","11 september 2020","0 dagen","€ 349.000 kosten koper","€ 2.493","Verkocht",NA,NA,"Bestaande bouw","1960","Zadeldak bedekt met pannen","140 m²",NA,NA,"600 m³","7 kamers (4 slaapkamers)","1 apart toilet",NA,"4 woonlagen",NA,"Rolluiken",NA,"Gedeeltelijk dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Nefit Topline (gas gestookt combiketel uit 2007, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Aangebouwde stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","48 m²","312 m²","D Wat betekent dit?","312 m²","Achtertuin","0,01 meter diep en 0,01 meter breed","Gelegen op het westen bereikbaar via achterom","1 auto"
"634","Via Regia 186 N","15 september 2020","2 oktober 2020","2 weken","€ 150.000 kosten koper
Hypotheekadvies","€ 2.679",NA,NA,"Portiekflat (corridorflat)","Bestaande bouw","1975",NA,NA,NA,NA,"183 m³","4 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56 m² wonen",NA,NA,NA,NA
"635","Klokbekerstraat 36","3 juni 2020","21 augustus 2020","2½ maand","€ 399.000 kosten koper","€ 2.558","Verkocht",NA,NA,"Bestaande bouw","1966","Zadeldak bedekt met pannen","156 m²","21 m²","36 m²","689 m³","9 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen, een zolder en een kelder",NA,"Elektrische deur en elektra",NA,"Gedeeltelijk dubbel glas en muurisolatie","Cv-ketel en open haard","Gasboiler (huur)","Buderus (gas gestookt uit 1981, eigendom)","Volle eigendom","Aan rustige weg en vrij uitzicht","Balkon aanwezig",NA,"Aangebouwde stenen garage","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","63 m²","1.121 m²","C Wat betekent dit?","457 m²","Achtertuin en voortuin","241 m² (18,4 meter diep en 13,1 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","2 auto's"
"636","Bergerstraat 157","5 oktober 2020","5 oktober 2020","0 dagen","€ 449.000 kosten koper","€ 3.402","Verkocht",NA,NA,"Bestaande bouw","1936","Zadeldak bedekt met pannen","132 m²",NA,"4 m²","396 m³","6 kamers (4 slaapkamers)","1 badkamer","Ligbad, douche en toilet","3 woonlagen en een kelder",NA,"Elektra",NA,"Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom","Volle eigendom","In woonwijk",NA,"Vrijstaande houten berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","5 m²","165 m²","F Wat betekent dit?","165 m²","Achtertuin en voortuin","0,01 meter diep en 0,01 meter breed","Gelegen op het zuiden bereikbaar via achterom",NA
"637","Sauterneslaan 42 A","15 augustus 2020","4 september 2020","2 weken","€ 175.000 kosten koper","€ 2.465","Verkocht","€ 163,52 per maand","Portiekflat (corridorflat)","Bestaande bouw","1976","Plat dak bedekt met bitumineuze dakbedekking","71 m²","37 m²","4 m²","200 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag",NA,"Lift, mechanische ventilatie en TV kabel",NA,"Gedeeltelijk dubbel glas","Blokverwarming","Elektrische boiler",NA,"Volle eigendom","In woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 163,52 per maand)","Ja","Ja","Ja",NA,NA,NA,"G Wat betekent dit?",NA,"Achtertuin","37 m² (4,5 meter diep en 8,2 meter breed)","Gelegen op het noorden",NA
"638","Aartshertogenstraat 42","29 juli 2020","2 september 2020","5 weken","€ 195.000 kosten koper","€ 2.167","Verkocht",NA,NA,"Bestaande bouw","1991","Plat dak bedekt met bitumineuze dakbedekking","90 m²",NA,"7 m²","280 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen",NA,"Mechanische ventilatie en rolluiken","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas HR CW4 (gas gestookt combiketel uit 2015, huur)","Volle eigendom","In woonwijk",NA,"Vrijstaand kunststof",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"125 m²",NA,"125 m²","Achtertuin en voortuin","52 m² (10,4 meter diep en 5 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA
"639","Bronweg 23","18 augustus 2020","7 september 2020","2 weken","€ 209.000 kosten koper","€ 2.322","Verkocht",NA,NA,"Bestaande bouw","1950","Zadeldak bedekt met pannen","90 m²","8 m²","8 m²","354 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een kelder",NA,"Vliering","E Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","Nefit Trendline (gas gestookt combiketel uit 2015, eigendom)","Zie akte","Aan rustige weg en in woonwijk",NA,"Aangebouwde stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"126 m²",NA,"126 m²","Achtertuin",NA,NA,NA
"640","Graaf van Waldeckstraat 49 a","8 juni 2020","13 juli 2020","5 weken","Prijs op aanvraag
Hypotheekadvies",NA,NA,NA,NA,"Bestaande bouw",NA,NA,NA,NA,NA,"1.186 m³","11 kamers (5 slaapkamers)",NA,NA,NA,NA,NA,"F Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Villa, halfvrijstaande woning",NA,NA,NA,"240 m² wonen / 544 m² perceel",NA,NA,NA,NA
"641","Malpertuisstraat 7","1 oktober 2020","1 oktober 2020","0 dagen","€ 175.000 kosten koper
Hypotheekadvies","€ 1.636",NA,NA,"Bovenwoning (appartement)","Bestaande bouw","1959",NA,NA,NA,NA,"408 m³","6 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"107 m² wonen",NA,NA,NA,NA
"642","Malpertuisstraat 32","1 oktober 2020","1 oktober 2020","0 dagen","€ 175.000 kosten koper","€ 1.636",NA,NA,"Bovenwoning (appartement)","Bestaande bouw","1959",NA,NA,NA,NA,"376 m³","5 kamers (5 slaapkamers)",NA,NA,NA,NA,NA,"E Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"107 m² wonen",NA,NA,NA,NA
"643","Harsteltborg 33 a","9 september 2020","29 september 2020","2 weken","€ 170.000 kosten koper","€ 2.361","Verkocht","€ 160,61 per maand","Benedenwoning (appartement)","Bestaande bouw","1981","Zadeldak bedekt met bitumineuze dakbedekking","72 m²",NA,"5 m²","232 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag","Begane grond","Rolluiken en TV kabel","B Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2018, eigendom)",NA,"Aan rustige weg en in woonwijk",NA,NA,NA,"Openbaar parkeren","Ja","Ja","Ja (€ 160,61 per maand)","Ja","Ja","Ja",NA,NA,NA,NA,NA,"Achtertuin",NA,NA,NA
"644","Médoclaan 210","21 augustus 2020","22 september 2020","4 weken","€ 445.000 kosten koper","€ 3.532","Verkocht",NA,NA,"Bestaande bouw","1988","Lessenaardak bedekt met pannen","126 m²",NA,NA,"450 m³","5 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,"Elektrische deur",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Geiser (huur)","Radson (gas gestookt uit 1988, eigendom)","Volle eigendom",NA,NA,NA,"Inpandig","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","29 m²","281 m²","C Wat betekent dit?","281 m²","Achtertuin en voortuin","110 m² (11 meter diep en 10 meter breed)","Gelegen op het noorden","1 auto"
"645","Karbindersdreef 19","29 juli 2020","20 augustus 2020","3 weken","€ 192.500 kosten koper","€ 2.406","Verkocht",NA,NA,"Bestaande bouw","1965","Zadeldak bedekt met pannen","80 m²",NA,"16 m²","260 m³","5 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen",NA,"Elektra","D Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2008, huur)","Volle eigendom",NA,NA,NA,"Vrijstaande stenen garage","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, eindwoning",NA,"197 m²",NA,"197 m²","Achtertuin, voortuin en zijtuin",NA,NA,"1 auto"
"646","Lage Barakken 71 D","12 juni 2020","27 augustus 2020","2 maanden","€ 295.000 kosten koper
Hypotheekadvies","€ 2.706",NA,NA,"Portiekflat (appartement)","Bestaande bouw","1908",NA,NA,NA,NA,"285 m³","6 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,"G Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109 m² wonen",NA,NA,NA,NA
"647","Sint Cornelisstraat 1","27 juli 2020","14 augustus 2020","2 weken","€ 175.000 kosten koper","€ 1.842","Verkocht",NA,NA,"Bestaande bouw","1920","Zadeldak bedekt met pannen","95 m²",NA,"8 m²","303 m³","5 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen",NA,"Vliering",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Remeha Quinta (gas gestookt combiketel uit 2005, eigendom)","Volle eigendom","Aan rustige weg, open ligging en vrij uitzicht",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","8 m²","155 m²","F Wat betekent dit?","155 m²","Achtertuin en voortuin","54 m² (10,06 meter diep en 5,37 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA
"648","Mergelweg 72","27 juli 2020","11 augustus 2020","2 weken","€ 439.000 kosten koper","€ 3.658","Verkocht",NA,NA,"Bestaande bouw","1958","Zadeldak bedekt met pannen","120 m²","19 m²",NA,"573 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen en een kelder",NA,"Dakraam, rolluiken, rookkanaal, schuifpui en TV kabel","E Wat betekent dit?","Driedubbel glas en HR-glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2013, eigendom)","Volle eigendom","In woonwijk en vrij uitzicht","Balkon aanwezig","Inpandig",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","54 m²","156 m²",NA,"156 m²","Achtertuin en voortuin","50 m² (8 meter diep en 6,25 meter breed)","Gelegen op het noordwesten bereikbaar via achterom",NA
"649","Hoogbeeltplein 129","17 juni 2020","28 september 2020","3 maanden","€ 199.000 kosten koper","€ 2.803","Verkocht","€ 200,00 per maand","Maisonnette (appartement)","Bestaande bouw","1979",NA,"71 m²","3 m²",NA,"269 m³","2 kamers (1 slaapkamer)",NA,NA,"2 woonlagen","1e woonlaag","Airconditioning","B Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"Erfpacht","In centrum",NA,NA,NA,NA,"Ja","Ja","Ja (€ 200,00 per maand)","Ja","Ja","Ja",NA,"7 m²",NA,NA,NA,NA,NA,NA,NA
"650","Den Haspegouwer 5, 3620 Veldwezelt - België","2 juli 2020","2 juli 2020","0 dagen","€ 350.000 kosten koper","€ 1.750","Verkocht",NA,NA,"Bestaande bouw","1992","Tentdak bedekt met pannen","200 m²",NA,"75 m²","425 m³","8 kamers (5 slaapkamers)","1 badkamer","Ligbad, douche en toilet","2 woonlagen",NA,"Elektra en stromend water",NA,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel","Junker (gas gestookt combiketel uit 1992, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","25 m²","777 m²","Niet beschikbaar","777 m²","Tuin rondom",NA,NA,"1 auto"
"651","Avenue Ceramique 11 F","9 september 2020","25 september 2020","2 weken","€ 349.000 kosten koper","€ 3.966","Verkocht","€ 171,86 per maand","Portiekflat (appartement)","Bestaande bouw","1999",NA,"88 m²","8 m²","8 m²","300 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","5e woonlaag","Lift en mechanische ventilatie",NA,"Dubbel glas","Stadsverwarming","Centrale voorziening",NA,"Volle eigendom","In centrum, in woonwijk en vrij uitzicht",NA,"Inpandig","Inpandig, parkeerplaats en souterrain","Betaald parkeren","Ja","Ja","Ja (€ 171,86 per maand)","Ja","Ja","Ja",NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,"1 auto"
"652","Wolkammersdreef 41 A","3 september 2020","25 september 2020","3 weken","€ 165.000 kosten koper","€ 2.062","Verkocht","€ 190,13 per maand","Portiekflat (appartement)","Bestaande bouw","1965",NA,"80 m²","3 m²","6 m²","245 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","1e woonlaag","TV kabel",NA,"Dubbel glas","Blokverwarming","Geiser (huur)",NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 190,13 per maand)","Ja","Ja","Ja",NA,NA,NA,"F 2,67 Wat betekent dit?",NA,NA,NA,NA,NA
"653","Aert van Trichtweg 21 A-B","11 september 2020","23 september 2020","12 dagen","€ 649.000 kosten koper","€ 4.385","Verkocht",NA,NA,"Bestaande bouw","1930","Zadeldak bedekt met pannen","148 m²","15 m²","97 m²","770 m³","14 kamers (6 slaapkamers)","3 badkamers en 1 apart toilet","3 douches","3 woonlagen",NA,"Elektrische deur",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Aangebouwde stenen garage","Parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","33 m²","287 m²","Niet beschikbaar","287 m²","Zonneterras",NA,NA,"5 auto's"
"654","Volksplein 82 D","7 september 2020","29 september 2020","3 weken","€ 209.000 kosten koper","€ 2.679","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1989",NA,"78 m²","4 m²","8 m²","255 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","4e woonlaag",NA,"C Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"Volle eigendom","Aan rustige weg en in woonwijk","Balkon aanwezig",NA,NA,NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Boys 6 Riemst-Kanne BELGIË","18 juni 2020","21 september 2020","3 maanden","€ 645.000 kosten koper","€ 1.925","Verkocht",NA,NA,"Bestaande bouw","2005",NA,"335 m²",NA,NA,"894 m³","5 kamers (3 slaapkamers)","2 badkamers en 2 aparte toiletten","2 ligbaden, 2 douches en toilet","3 woonlagen",NA,"Elektrische deur en vliering",NA,NA,"Heteluchtverwarming en gedeeltelijke vloerverwarming",NA,NA,"Volle eigendom",NA,NA,NA,"Vrijstaande stenen garage",NA,NA,NA,NA,NA,NA,NA,"Villa, vrijstaande woning",NA,"764 m²","Niet beschikbaar","764 m²","Tuin rondom",NA,NA,"1 auto"
"656","Beugelruwe 4","18 juni 2020","7 september 2020","2½ maand","€ 367.500 kosten koper","€ 2.917","Verkocht",NA,NA,"Bestaande bouw","2006",NA,"126 m²",NA,NA,"530 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"Elektra en stromend water",NA,"HR-glas, muurisolatie en vloerisolatie","Cv-ketel, gedeeltelijke vloerverwarming en warmte terugwininstallatie","Cv-ketel","Gas gestookt, eigendom","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Aangebouwde stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, geschakelde woning","17 m²","204 m²","A+ Wat betekent dit?","204 m²","Achtertuin en voortuin","66 m² (7,85 meter diep en 8,4 meter breed)","Gelegen op het zuidwesten","1 auto"
"657","Meidoorn 113 b","5 september 2020","18 september 2020","13 dagen","€ 375.000 kosten koper
Hypotheekadvies","€ 2.885",NA,NA,NA,"Bestaande bouw",NA,NA,NA,NA,NA,"340 m³","1 kamer",NA,NA,NA,NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning",NA,NA,NA,"130 m² wonen / 217 m² perceel",NA,NA,NA,NA
"658","Europalaan 65","2 juni 2020","26 juni 2020","3 weken","€ 375.000 kosten koper
Hypotheekadvies","€ 2.551",NA,NA,NA,"Bestaande bouw",NA,NA,NA,NA,NA,"589 m³","7 kamers (5 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning",NA,NA,"F 2,84 Wat betekent dit?","147 m² wonen / 220 m² perceel",NA,NA,NA,NA
"659","Peppelhoven 49","6 januari 2020","1 februari 2020","3 weken","€ 295.000 kosten koper
Hypotheekadvies","€ 2.185",NA,NA,NA,"Bestaande bouw",NA,NA,NA,NA,NA,"410 m³","6 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,"C Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,NA,NA,"135 m² wonen / 225 m² perceel",NA,NA,NA,NA
"660","Ambyerstraat Noord 28 B","3 januari 2020","9 januari 2020","6 dagen","€ 300.000 kosten koper
Hypotheekadvies","€ 3.093",NA,NA,"Bovenwoning","Bestaande bouw","2006",NA,NA,NA,NA,"270 m³","4 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Niet beschikbaar","97 m² wonen",NA,NA,NA,NA
"661","Rekemstraat 3","9 september 2020","21 september 2020","12 dagen","€ 339.000 kosten koper","€ 2.588","Verkocht",NA,NA,"Bestaande bouw","1996","Plat dak bedekt met bitumineuze dakbedekking","131 m²","20 m²","18 m²","450 m³","7 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen",NA,"Elektra","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Ferolli (gas gestookt combiketel uit 1996, eigendom)","Volle eigendom","Aan rustige weg, in woonwijk en open ligging","Dakterras aanwezig",NA,"Vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","4 m²","247 m²",NA,"247 m²","Achtertuin en zijtuin","120 m² (20 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom","2 auto's"
"662","Moselborg 50","21 juli 2020","28 juli 2020","7 dagen","€ 219.000 kosten koper","€ 2.258","Verkocht",NA,NA,"Bestaande bouw","1981","Zadeldak bedekt met pannen","97 m²",NA,"12 m²","347 m³","4 kamers (3 slaapkamers)",NA,NA,"2 woonlagen en een zolder",NA,NA,NA,"Dubbel glas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Gas gestookt combiketel uit 2018, huur","Volle eigendom",NA,NA,"Vrijstaande houten berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"297 m²","C Wat betekent dit?","137 m²","Tuin rondom",NA,NA,NA
"663","Tarwehegge 18","23 augustus 2020","9 september 2020","2 weken","€ 235.000 kosten koper","€ 2.938","Verkocht",NA,NA,"Bestaande bouw","1997","Plat dak bedekt met bitumineuze dakbedekking","80 m²","14 m²","6 m²","272 m³","4 kamers (3 slaapkamers)",NA,NA,"2 woonlagen",NA,"Mechanische ventilatie en rolluiken","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2017, huur","Mandelig","In woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"122 m²",NA,"1 m²","Achtertuin","55 m² (11 meter diep en 5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA
"664","Brusselseweg 226","24 juli 2020","13 augustus 2020","2 weken","€ 349.000 kosten koper","€ 2.327","Verkocht",NA,NA,"Bestaande bouw","1926","Zadeldak bedekt met pannen","150 m²",NA,"18 m²","573 m³","9 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen en een kelder",NA,"Elektra",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel en houtkachel","Cv-ketel en geiser","Nefit (gas gestookt combiketel uit 2019, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Aangebouwde houten berging","Vrijstaande houten garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","40 m²","273 m²","D Wat betekent dit?","273 m²","Achtertuin, voortuin en zijtuin","135 m² (18 meter diep en 7,5 meter breed)","Gelegen op het oosten bereikbaar via achterom","1 auto"
"665","Sphinxlunet 46 D","14 augustus 2020","4 september 2020","3 weken","€ 255.000 kosten koper","€ 3.592","Verkocht","€ 150,34 per maand","Portiekflat (appartement)","Bestaande bouw","1992","Plat dak","71 m²","12 m²","6 m²","205 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","3e woonlaag","Elektra",NA,"Dubbel glas en muurisolatie","Stadsverwarming","Stadsverwarming",NA,NA,"In woonwijk","Balkon aanwezig","Inpandig",NA,"Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 150,34 per maand)","Ja","Ja","Ja",NA,NA,NA,"B 1,35 Wat betekent dit?",NA,NA,NA,NA,NA
"666","Zeepziedersdreef 3","14 augustus 2020","8 september 2020","3 weken","€ 245.000 kosten koper","€ 2.402","Verkocht",NA,NA,"Bestaande bouw","1965","Zadeldak bedekt met pannen","102 m²",NA,"7 m²","365 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"2 woonlagen en een zolder",NA,"Elektra","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Intergas (gas gestookt uit 2017, huur)","Volle eigendom",NA,NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"168 m²",NA,"168 m²","Achtertuin","0,01 meter diep en 0,01 meter breed","Gelegen op het noordoosten bereikbaar via achterom",NA
"667","Adelbert van Scharnlaan 179 C","29 juli 2020","27 augustus 2020","4 weken","€ 269.000 kosten koper","€ 3.362","Verkocht","€ 162,96 per maand","Portiekflat (appartement)","Bestaande bouw","1994",NA,"80 m²","4 m²","6 m²","240 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","3e woonlaag","Lift en mechanische ventilatie",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel","AWB Thermo Master VR ( combiketel uit 2012, eigendom)","Volle eigendom","In woonwijk en vrij uitzicht",NA,"Inpandig","Parkeerkelder, parkeerplaats en souterrain","Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 162,96 per maand)","Ja","Ja","Ja",NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,"1 auto"
"668","Brusselseweg 105","3 september 2020","25 september 2020","3 weken","€ 399.000 kosten koper","€ 2.608","Verkocht",NA,NA,"Bestaande bouw","1925",NA,"153 m²","7 m²",NA,"655 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen en een kelder",NA,NA,"F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Nefit Hr Ecomline","Volle eigendom","In woonwijk","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","23 m²","496 m²",NA,"271 m²","Achtertuin",NA,NA,NA
