"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"427","Papenweg 48 a","30 september 2020","16 oktober 2020","2 weken","€ 450.000 kosten koper","€ 3.358","Verkocht",NA,NA,"Bestaande bouw","1955","Zadeldak bedekt met pannen","134 m²","2 m²",NA,"608 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen en een kelder",NA,"Rolluiken, TV kabel en zonnepanelen","E Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Nefit Excellent (gas gestookt combiketel uit 2004, huur)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","60 m²","156 m²",NA,"156 m²","Achtertuin","77 m² (11 meter diep en 7 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"428","Frankenstraat 183","24 september 2020","24 november 2020","2 maanden","€ 275.000 kosten koper","€ 1.964","Verkocht",NA,NA,"Bestaande bouw","1924","Zadeldak bedekt met pannen","140 m²","20 m²",NA,"550 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen en een kelder",NA,"Rolluiken","F Wat betekent dit?","Geen isolatie","Cv-ketel","Geiser (huur)","Gas gestookt","Volle eigendom","In woonwijk",NA,NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","11 m²","159 m²",NA,"159 m²","Achtertuin","47 m² (8,64 meter diep en 5,47 meter breed)","Gelegen op het zuiden",NA
"429","Veulenerbank 44","21 september 2020","14 oktober 2020","3 weken","€ 325.000 kosten koper","€ 2.754","Verkocht",NA,NA,"Bestaande bouw","1977","Zadeldak bedekt met pannen","118 m²","8 m²","6 m²","435 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,NA,"C Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Geiser (huur)","Crane (gas gestookt uit 1977, eigendom)","Volle eigendom",NA,"Balkon aanwezig","Vrijstaande stenen berging",NA,"Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","40 m²","196 m²",NA,"196 m²","Achtertuin en voortuin","61 m² (10 meter diep en 6,1 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA
"430","Appartementen Type B (Bouwnr. 225)","17 juli 2020","23 november 2020","4 maanden","€ 395.000 vrij op naam","€ 4.877","Verkocht",NA,"Portiekflat","Nieuwbouw","2021",NA,"81 m²",NA,NA,"211 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","7e woonlaag",NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zonneterras",NA,NA,NA
"431","Stenenwal 30","2 oktober 2020","14 oktober 2020","12 dagen","€ 645.000 kosten koper","€ 4.542","Verkocht",NA,NA,"Bestaande bouw","1900","Zadeldak bedekt met pannen","142 m²","20 m²",NA,"458 m³","9 kamers (2 slaapkamers)",NA,NA,"3 woonlagen",NA,"Elektra",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Nefit HR Turbo (gas gestookt combiketel uit 2004, eigendom)","Volle eigendom","Aan water en in centrum",NA,"Inpandig",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"60 m²","G Wat betekent dit?","40 m²",NA,NA,NA,NA
"432","Bellefroidlunet 25 E","4 september 2020","27 november 2020","2½ maand","€ 358.000 kosten koper","€ 3.410","Verkocht","€ 202,00 per maand","Portiekflat (appartement)","Bestaande bouw","2006","Plat dak bedekt met bitumineuze dakbedekking","105 m²",NA,NA,"325 m³","5 kamers (2 slaapkamers)",NA,NA,"6 woonlagen","4e woonlaag",NA,NA,"Volledig geïsoleerd","Stadsverwarming","Centrale voorziening en elektrische boiler",NA,"Volle eigendom","Aan rustige weg",NA,NA,"Parkeerkelder","Betaald parkeren, openbaar parkeren en parkeergarage","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"C 1,45 Wat betekent dit?",NA,NA,NA,NA,NA
"433","Wilhelminasingel 9 B","23 oktober 2020","17 november 2020","3 weken","€ 525.000 kosten koper","€ 3.777","Verkocht",NA,"Portiekflat","Bestaande bouw","1991","Samengesteld dak","139 m²","10 m²","18 m²","449 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","1 woonlaag","1e woonlaag","Buitenzonwering, lift en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Nefit Topline (gas gestookt combiketel uit 2010)","Volle eigendom","In centrum en vrij uitzicht","Balkon aanwezig","Inpandig","Parkeerkelder en parkeerplaats","Parkeergarage","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Savelsbosch 19","12 augustus 2020","30 september 2020","7 weken","€ 649.000 kosten koper","€ 4.056","Verkocht",NA,NA,"Bestaande bouw","2008","Plat dak","160 m²",NA,"24 m²","600 m³","5 kamers (4 slaapkamers)","2 badkamers","Ligbad","2 woonlagen",NA,"Elektra, verwarming en stromend water","A Wat betekent dit?","Dakisolatie en dubbel glas",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen garage",NA,NA,NA,NA,NA,NA,NA,"Villa, geschakelde woning","24 m²","427 m²",NA,"427 m²","Tuin rondom",NA,NA,"1 auto"
"435","Oude God 18, Lanaken, BELGIË","13 december 2019","16 november 2020","11 maanden","€ 249.000 kosten koper","€ 2.075","Verkocht",NA,"Benedenwoning (appartement)","Bestaande bouw","1993",NA,"120 m²",NA,NA,"350 m³","3 kamers (2 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","2 woonlagen","Begane grond","Alarminstallatie",NA,"Dubbel glas",NA,NA,NA,"Volle eigendom",NA,NA,NA,"Carport",NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"Niet beschikbaar","Deelperceel",NA,NA,NA,NA
"436","President Rooseveltlaan (Bouwnr. 4)","17 juli 2020","29 november 2020","4 maanden","€ 399.500 vrij op naam","€ 2.755","Verkocht",NA,NA,"Nieuwbouw","2021",NA,"145 m²",NA,NA,"546 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen",NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbaar parkeren, parkeergarage en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning",NA,NA,NA,NA,"Achtertuin",NA,NA,NA
