"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"682","Stationsplein 68","15 oktober 2020","1 december 2020","6 weken","€ 432.000 kosten koper","€ 3.927","Verkocht",NA,"Bestaande bouw","1977","Plat dak bedekt met bitumineuze dakbedekking","110 m²","6 m²",NA,"350 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","7 woonlagen","Elektra",NA,"Dakisolatie, driedubbel glas en dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In centrum en vrij uitzicht",NA,NA,NA,"Inpandig","Betaald parkeren, openbaar parkeren en parkeergarage",NA,"9 m²","Inpandig en parkeerkelder","1 auto",NA,NA,NA,"Balkon aanwezig","€ 220,00 per maand","Portiekflat (appartement)",NA
"683","Montaubanhof 4","16 oktober 2020","5 november 2020","2 weken","€ 285.000 kosten koper","€ 2.794","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1983","Zadeldak","102 m²","12 m²","186 m²","339 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"186 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","101 m² (19 meter diep en 5,3 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,"1 m²",NA,NA,"Combiketel uit 1999, eigendom",NA,NA,NA,NA,NA,NA
"684","Smalle Haven 39","22 september 2020","2 november 2020","5 weken","€ 650.000 kosten koper","€ 4.887","Verkocht",NA,"Bestaande bouw","2006","Plat dak bedekt met bitumineuze dakbedekking","133 m²","8 m²",NA,"455 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Ligbad en toilet","27 woonlagen","Elektra","A Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum en vrij uitzicht","Zonneterras",NA,"Gelegen op het zuidwesten","Inpandig","Openbaar parkeren",NA,"12 m²","Parkeerkelder en parkeerplaats",NA,"Vaillant HR (gas gestookt combiketel uit 2006, eigendom)",NA,NA,"Balkon aanwezig","€ 471,00 per maand","Portiekflat (appartement)",NA
"685","Olivierlaan 3","16 oktober 2020","27 november 2020","6 weken","€ 500.000 kosten koper","€ 2.415","Verkocht","Eengezinswoning, geschakelde 2-onder-1-kapwoning","Bestaande bouw","1980","Zadeldak bedekt met bitumineuze dakbedekking en pannen","207 m²","26 m²","375 m²","700 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel",NA,"375 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","166 m² (13,24 meter diep en 12,5 meter breed)","Gelegen op het zuidwesten","Vrijstaande houten berging","Openbaar parkeren",NA,"1 m²","Inpandig","1 auto","Nefit HR (gas gestookt combiketel, eigendom)",NA,NA,NA,NA,NA,NA
"686","Graslelie 60","9 oktober 2020","26 oktober 2020","2 weken","€ 485.000 kosten koper","€ 2.887","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","2007","Lessenaardak bedekt met leisteen","168 m²","6 m²","245 m²","646 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra en verwarming",NA,"Volledig geïsoleerd","Stadsverwarming","Centrale voorziening",NA,"245 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","66 m² (6 meter diep en 11 meter breed)","Gelegen op het zuiden","Inpandig","Openbaar parkeren","8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Cor Mellemalaan 25","6 maart 2020","20 november 2020","8 maanden","€ 799.000 kosten koper","€ 4.097","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1995","Zadeldak bedekt met pannen","195 m²","16 m²","830 m²","845 m³","5 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en 2 douches","2 woonlagen","Elektra en stromend water",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"830 m²","Volle eigendom","Aan rustige weg en in bosrijke omgeving","Achtertuin en voortuin",NA,NA,NA,"Op eigen terrein","21 m²","35 m²","Aangebouwde stenen garage","1 auto","Nefit HR (gas gestookt combiketel uit 2018, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"688","Amazonenlaan 5","18 november 2019","2 oktober 2020","10 maanden","€ 875.000 kosten koper","€ 3.352","Verkocht","Villa, vrijstaande woning","Bestaande bouw","1965","Zadeldak bedekt met pannen","261 m²","36 m²","918 m²","928 m³","6 kamers (5 slaapkamers)","2 badkamers en 1 apart toilet","Douche en 2 toiletten","2 woonlagen en een zolder","Elektrische deur en elektra","C Wat betekent dit?","Geen spouw","Cv-ketel","Cv-ketel",NA,"918 m²","Volle eigendom","Aan bosrand, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin","206 m² (12,5 meter diep en 16,5 meter breed)","Gelegen op het westen bereikbaar via achterom",NA,"Op eigen terrein",NA,"18 m²","Aangebouwde stenen garage en parkeerplaats","1 auto","Nefit HR (gas gestookt combiketel uit 2009, eigendom)",NA,NA,NA,NA,NA,NA
"689","Graspieper 105","27 oktober 2020","12 november 2020","2 weken","€ 385.000 kosten koper","€ 2.831","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","136 m²",NA,"2.894 m²","491 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"2.779 m²","Mandelig","Aan rustige weg en in woonwijk","Achtertuin en voortuin","40 m² (8,5 meter diep en 4,7 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Aangebouwde houten berging","Openbaar parkeren","8 m²","19 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Petrus Dondersstraat 17","10 december 2020","10 december 2020","0 dagen","€ 485.000 kosten koper","€ 3.514","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Zadeldak bedekt met pannen","138 m²","8 m²","148 m²","485 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen en een kelder","Elektra","Niet verplicht","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"148 m²","Volle eigendom",NA,"Achtertuin en voortuin","66 m² (11 meter diep en 6 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","5 m²","2 m²",NA,NA,"Combiketel","Beschermd stads- of dorpsgezicht en monument",NA,"Balkon aanwezig",NA,NA,NA
"691","Jonathanstraat 9","5 oktober 2020","20 oktober 2020","2 weken","€ 325.000 kosten koper","€ 2.500","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1967","Zadeldak bedekt met pannen","130 m²","14 m²","167 m²","390 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,"167 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","60 m² (10,5 meter diep en 5,75 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Gas gestookt combiketel uit 2016, huur",NA,NA,NA,NA,NA,NA
"692","Victor Hugolaan 12","4 juli 2020","18 september 2020","2 maanden","€ 475.000 kosten koper","€ 2.568","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1999","Dwarskap bedekt met bitumineuze dakbedekking en kunststof","185 m²",NA,"237 m²","605 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"237 m²","Volle eigendom","Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zonneterras","104 m² (11,56 meter diep en 8,96 meter breed)","Gelegen op het noordoosten","Vrijstaande houten berging","Op eigen terrein en openbaar parkeren",NA,NA,"Parkeerplaats",NA,"HR (gas gestookt combiketel uit 2011, eigendom)",NA,NA,"Frans balkon aanwezig",NA,NA,NA
"693","Roosenburgstraat 9","16 oktober 2020","6 november 2020","3 weken","€ 299.000 kosten koper","€ 1.834","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1961","Zadeldak","163 m²","9 m²","200 m²","537 m³","7 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Natuurlijke ventilatie, rookkanaal en TV kabel","F 2,56 Wat betekent dit?",NA,"Cv-ketel","Cv-ketel en geiser (huur)",NA,"200 m²","Volle eigendom",NA,"Achtertuin en voortuin","73 m² (10 meter diep en 7,3 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"6 m²",NA,NA,"Gas gestookt combiketel, eigendom","Kluswoning",NA,"Balkon aanwezig",NA,NA,NA
"694","Willem de Bruynstraat 82","8 juli 2020","6 november 2020","3½ maand","€ 349.500 kosten koper","€ 3.177","Verkocht",NA,"Bestaande bouw","2002","Plat dak bedekt met bitumineuze dakbedekking","110 m²","21 m²",NA,"338 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","Elektra",NA,"Volledig geïsoleerd","Cv-ketel en warmte terugwininstallatie","Cv-ketel",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren en parkeergarage",NA,"3 m²","Parkeerkelder en parkeerplaats",NA,"2019, huur",NA,NA,"Balkon aanwezig","€ 149,00 per maand","Portiekflat (appartement)",NA
"695","Stevinstraat 37","11 november 2020","27 november 2020","2 weken","€ 300.000 kosten koper","€ 3.093","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","97 m²","11 m²","154 m²","347 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen en een zolder met vliering","Elektra","D Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"154 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","94 m² (20 meter diep en 4,7 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,NA,NA,NA,"Nefit Trendline (gas gestookt combiketel uit 2017, eigendom)",NA,NA,NA,NA,NA,NA
"696","Albilaan 1","22 oktober 2020","12 november 2020","3 weken","€ 355.000 kosten koper","€ 2.649","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1988","Zadeldak bedekt met bitumineuze dakbedekking en pannen","134 m²","15 m²","266 m²","470 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Airconditioning, glasvezelkabel, mechanische ventilatie en rolluiken","C Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel, gashaard en gedeeltelijke vloerverwarming","Cv-ketel",NA,"266 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","150 m² (21,25 meter diep en 7,85 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Nefit (gas gestookt uit 2005)",NA,NA,NA,NA,NA,NA
"697","Hasselaarstraat 16","10 oktober 2020","30 oktober 2020","2 weken","€ 369.500 kosten koper","€ 2.799","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1961","Zadeldak bedekt met bitumineuze dakbedekking en pannen","132 m²","9 m²","146 m²","452 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","D Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"146 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","54 m² (9 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Vaillant (gas gestookt uit 2017)",NA,NA,NA,NA,NA,NA
"698","Karel de Grotelaan 27","8 augustus 2020","20 augustus 2020","12 dagen","€ 395.000 kosten koper","€ 2.970","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1988","Zadeldak bedekt met pannen","133 m²","6 m²","110 m²","455 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,"110 m²","Volle eigendom","In centrum","Achtertuin en zonneterras","43 m² (8,5 meter diep en 5 meter breed)","Gelegen op het zuidoosten","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Remeha Avanta HR Combi (gas gestookt combiketel uit 2008, eigendom)",NA,NA,NA,NA,NA,NA
"699","Virginia Woolflaan 7","20 mei 2020","30 oktober 2020","5 maanden","€ 895.000 kosten koper","€ 3.208","Verkocht","Villa, vrijstaande woning","Bestaande bouw","1997","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","279 m²","14 m²","824 m²","957 m³","8 kamers (6 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad, douche en toilet","3 woonlagen","Alarminstallatie, dakraam, glasvezelkabel, TV kabel en zonnepanelen","A Wat betekent dit?","HR-glas en volledig geïsoleerd","Houtkachel, gehele vloerverwarming en warmtepomp","Aardwarmte",NA,"824 m²","Volle eigendom",NA,"Tuin rondom",NA,NA,"Inpandig","Op eigen terrein en openbaar parkeren","10 m²","5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","de Koppele 21","21 oktober 2020","16 november 2020","3 weken","€ 225.000 kosten koper","€ 2.586","Verkocht",NA,"Bestaande bouw","1969","Plat dak bedekt met bitumineuze dakbedekking","87 m²","5 m²",NA,"278 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","Elektra","E Wat betekent dit?","Grotendeels dubbelglas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan drukke weg, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"12 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 135,23 per maand","Galerijflat (appartement)",NA
"701","Hertog Hendrik van Brabantplein 96","27 september 2020","15 oktober 2020","2 weken","€ 227.500 kosten koper","€ 4.292","Verkocht",NA,"Bestaande bouw","2012","Plat dak bedekt met bitumineuze dakbedekking","53 m²","2 m²",NA,"172 m³","3 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","1 woonlaag","Elektra","F Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Blokverwarming","Elektrische boiler",NA,NA,"Volle eigendom","In centrum, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Parkeervergunningen",NA,"7 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 183,16 per maand","Portiekflat (appartement)",NA
"702","Grasduiker 21","6 oktober 2020","8 november 2020","4 weken","€ 800.000 kosten koper","€ 3.587","Verkocht","Eengezinswoning, vrijstaande woning (split-level woning)","Bestaande bouw","2008","Plat dak bedekt met bitumineuze dakbedekking","223 m²",NA,"632 m²","923 m³","5 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad en toilet","2 woonlagen en een kelder","Stromend water",NA,"Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"74 m²","Volle eigendom","Aan rustige weg en in woonwijk","Tuin rondom",NA,NA,"Inpandig","Op eigen terrein en openbaar parkeren","17 m²","18 m²",NA,NA,NA,NA,NA,"Balkon aanwezig",NA,NA,NA
"703","Generaal Bradleylaan 34","7 november 2020","8 december 2020","4 weken","€ 315.000 kosten koper","€ 3.119","Verkocht",NA,"Bestaande bouw","2009","Plat dak bedekt met bitumineuze dakbedekking","101 m²","7 m²",NA,"337 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","1 woonlaag",NA,NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom",NA,NA,NA,NA,"Vrijstaande stenen berging","Openbaar parkeren",NA,"5 m²","Parkeerkelder",NA,"Nefit HR (gas gestookt combiketel uit 2009, eigendom)",NA,NA,"Balkon aanwezig","€ 218,63 per maand","Tussenverdieping (appartement)",NA
"704","Bleekweg 53","5 juni 2020","8 oktober 2020","4 maanden","€ 235.000 kosten koper","€ 5.595","Verkocht",NA,"Bestaande bouw","1979","Plat dak","42 m²","16 m²",NA,"130 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Lift, mechanische ventilatie, schuifpui en TV kabel","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan park, aan water, in centrum en vrij uitzicht",NA,NA,NA,"Inpandig","Betaald parkeren",NA,"4 m²","Parkeerkelder en parkeerplaats",NA,"Vaillant Thermo Compact VCW NL 245/4-7-L (gas gestookt uit 2011, eigendom)",NA,NA,"Balkon aanwezig",NA,"Galerijflat (appartement)",NA
"705","Anjelierstraat 18 B","25 juni 2020","13 juli 2020","2 weken","€ 309.000 kosten koper","€ 4.414","Verkocht",NA,"Bestaande bouw","2015",NA,"70 m²","6 m²",NA,"310 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"3 woonlagen","Elektra","Niet beschikbaar",NA,NA,NA,NA,NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,NA,"Inpandig",NA,"11 m²","6 m²","Parkeerplaats",NA,NA,NA,"€ 115 per maand",NA,NA,"Portiekflat",NA
"706","Korfakker 14","2 oktober 2020","1 november 2020","4 weken","€ 250.000 kosten koper","€ 2.155","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1967","Zadeldak bedekt met pannen","116 m²","10 m²","182 m²","365 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Gedeeltelijk dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel",NA,"19 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","78 m² (13 meter diep en 6 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,"Vrijstaande stenen garage","1 auto","Bosch (gas gestookt combiketel uit 2008, eigendom)",NA,NA,NA,NA,NA,NA
"707","La Courtinehof 20","26 september 2020","21 oktober 2020","3 weken","€ 295.000 kosten koper","€ 2.565","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1987","Zadeldak bedekt met pannen","115 m²","8 m²","121 m²","370 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Buitenzonwering, dakraam en mechanische ventilatie","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en heteluchtverwarming","Cv-ketel",NA,"121 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","55 m² (10 meter diep en 5,5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Brink (gas gestookt combiketel uit 2017, eigendom)",NA,NA,NA,NA,NA,NA
"708","Noord Brabantlaan 60","5 december 2020","13 december 2020","8 dagen","€ 242.500 kosten koper","€ 2.725","Verkocht",NA,"Bestaande bouw","1960",NA,"89 m²","6 m²",NA,"240 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra","F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan drukke weg en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"22 m²",NA,NA,"Gas gestookt combiketel uit 2007",NA,NA,"Balkon aanwezig","€ 163,90 per maand","Portiekflat (appartement)",NA
"709","Zanddreef 26","25 april 2020","1 juni 2020","5 weken","€ 319.000 kosten koper","€ 3.753","Verkocht",NA,"Bestaande bouw","2004","Plat dak","85 m²","4 m²",NA,"260 m³","3 kamers (2 slaapkamers)","1 badkamer","Douche en toilet","1 woonlaag","Buitenzonwering, glasvezelkabel, lift, schuifpui, TV kabel en zonnepanelen","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Op afgesloten terrein en op eigen terrein","7 m²",NA,NA,NA,NA,NA,NA,NA,"€ 158,32 per maand","Bovenwoning",NA
"710","Maalakker 15","29 september 2020","6 november 2020","5 weken","€ 275.000 kosten koper","€ 2.371","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1968","Zadeldak bedekt met pannen","116 m²","10 m²","170 m²","365 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"170 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","66 m² (11 meter diep en 6 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"19 m²",NA,NA,"Remeha (gas gestookt combiketel uit 2020, huur)",NA,NA,NA,NA,NA,NA
"711","de Koppele 567","10 oktober 2020","3 november 2020","3 weken","€ 239.500 kosten koper","€ 2.691","Verkocht",NA,"Bestaande bouw","1969",NA,"89 m²","5 m²",NA,"286 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","10 woonlagen","Elektra","E Wat betekent dit?",NA,"Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan drukke weg, aan rustige weg, in woonwijk, open ligging en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"12 m²",NA,NA,NA,NA,"€ 142 per maand","Balkon aanwezig",NA,"Galerijflat (appartement)",NA
"712","Lichtstraat 504","10 oktober 2020","11 december 2020","2 maanden","€ 398.000 kosten koper","€ 4.628","Verkocht",NA,"Bestaande bouw","2002","Plat dak","86 m²","6 m²",NA,"240 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","Elektra",NA,"Volledig geïsoleerd","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In centrum en vrij uitzicht",NA,NA,NA,"Inpandig",NA,NA,"14 m²","Parkeerkelder en parkeerplaats",NA,NA,NA,NA,"Balkon aanwezig","€ 182,85 per maand","Portiekflat (appartement)",NA
"713","Zandkasteel 156","1 september 2020","15 november 2020","2 maanden","€ 320.000 kosten koper","€ 3.299",NA,NA,"Bestaande bouw","2004",NA,NA,NA,NA,"305 m³","2 kamers (1 slaapkamer)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"97 m² wonen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bovenwoning (appartement)",NA
"714","Meerplein 85","22 april 2020","12 oktober 2020","5½ maand","€ 315.000 kosten koper","€ 3.841",NA,NA,"Bestaande bouw","2012",NA,NA,NA,NA,"269 m³","3 kamers (2 slaapkamers)",NA,NA,NA,NA,"A Wat betekent dit?",NA,NA,NA,NA,"82 m² wonen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galerijflat (appartement)",NA
"715","Paukenstraat 6","23 september 2020","31 oktober 2020","5 weken","€ 500.000 kosten koper","€ 3.401","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2008",NA,"147 m²",NA,"223 m²","530 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,NA,"Volledig geïsoleerd",NA,NA,NA,"223 m²","Volle eigendom",NA,"Achtertuin",NA,NA,NA,NA,NA,NA,"Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA
"716","Monarchstraat 59","15 oktober 2020","6 november 2020","3 weken","€ 275.000 kosten koper","€ 2.619","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1975","Zadeldak bedekt met pannen","105 m²","10 m²","135 m²","346 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"135 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","64 m² (10,1 meter diep en 6,3 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"1 m²",NA,NA,"Vaillant (gas gestookt combiketel uit 2001, eigendom)",NA,NA,NA,NA,NA,NA
"717","Waterland 170","9 oktober 2020","10 november 2020","4 weken","Prijs op aanvraag",NA,"Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2017","Plat dak bedekt met bitumineuze dakbedekking","139 m²","24 m²","238 m²","517 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen","Balansventilatie, glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie, TV kabel en zonnepanelen","Carport","Volledig geïsoleerd","Cv-ketel en gehele vloerverwarming","Cv-ketel","Atag (gas gestookt combiketel uit 2017, eigendom)",NA,"Volle eigendom","Aan park, aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin","90 m² (10 meter diep en 9 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Dakterras aanwezig","Elektra","9",NA,"7 m²","Op eigen terrein en openbaar parkeren",NA,"Kadastrale kaart",NA,NA,"Vrijstaande houten berging",NA,NA,NA
"718","Grasbloem 19","5 oktober 2020","30 oktober 2020","3 weken","€ 309.500 kosten koper","€ 2.243","Verkocht","Eengezinswoning, tussenwoning (split-level woning)","Bestaande bouw","2004","Plat dak bedekt met bitumineuze dakbedekking","138 m²",NA,"71 m²","491 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"71 m²","Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"13 m²",NA,NA,NA,NA,NA,"Dakterras aanwezig",NA,NA,NA
