"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"1410","Waterlinie 571","8 juli 2020","5 augustus 2020","4 weken","€ 350.000 kosten koper","€ 2.966","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2009","Plat dak bedekt met bitumineuze dakbedekking","118 m²","4 m²","89 m²","436 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen","Buitenzonwering, glasvezelkabel, mechanische ventilatie en schuifpui","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Centrale voorziening",NA,"89 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin","47 m² (8,9 meter diep en 5,3 meter breed)","Gelegen op het zuidwesten","Vrijstaande houten berging","Op afgesloten terrein en openbaar parkeren",NA,"22 m²","Parkeerkelder en parkeerplaats",NA,NA,NA,NA,"Dakterras aanwezig",NA,NA,NA
"1411","Waterlinie 511","3 juli 2020","22 juli 2020","2 weken","€ 200.000 kosten koper","€ 3.030","Verkocht",NA,"Bestaande bouw","2010","Plat dak bedekt met bitumineuze dakbedekking","66 m²","11 m²",NA,"225 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Toilet","1 woonlaag","Glasvezelkabel","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Stadsverwarming","Stadsverwarming",NA,NA,"Volle eigendom","Aan water, in bosrijke omgeving en vrij uitzicht",NA,NA,NA,NA,"Op eigen terrein en openbaar parkeren",NA,"6 m²","Parkeerplaats",NA,NA,NA,NA,"Balkon aanwezig","€ 144,00 per maand","Galerijflat (appartement)",NA
"1412","Lichtstraat 281","15 mei 2020","17 juli 2020","2 maanden","€ 400.000 kosten koper","€ 4.494","Verkocht",NA,"Bestaande bouw","2002","Plat dak bedekt met bitumineuze dakbedekking","89 m²","15 m²",NA,"273 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","8 woonlagen","Elektrische deur","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Stadsverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Betaald parkeren, openbaar parkeren en parkeervergunningen",NA,"6 m²","Inpandig, parkeerkelder en parkeerplaats","1 auto",NA,NA,NA,"Balkon aanwezig","€ 128,53 per maand","Portiekflat","Toegankelijk voor minder validen en toegankelijk voor ouderen"
"1413","Arcachonhof 7","20 augustus 2020","11 september 2020","3 weken","€ 200.000 kosten koper","€ 2.469","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1980","Samengesteld dak","81 m²",NA,"172 m²","397 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet",NA,"1 woonlaag","Glasvezelkabel, natuurlijke ventilatie en rolluiken",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"172 m²","Volle eigendom","Aan park, aan rustige weg, aan water en in woonwijk","Achtertuin en voortuin","63 m² (10,5 meter diep en 6 meter breed)","Gelegen op het noordoosten","Inpandig","Openbaar parkeren",NA,"15 m²",NA,NA,"Combiketel uit 2012",NA,NA,NA,NA,NA,NA
"1414","Kruisakker 46 a","6 juli 2020","14 augustus 2020","5 weken","€ 225.000 kosten koper","€ 3.000","Verkocht",NA,"Bestaande bouw","1977","Plat dak bedekt met bitumineuze dakbedekking","75 m²","11 m²",NA,"215 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Elektra","E 2,34 Wat betekent dit?","Gedeeltelijk dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,"Box","Openbaar parkeren",NA,"7 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 168,00 per maand","Portiekflat (appartement)",NA
"1415","Beverloweg 99","10 juli 2020","22 juli 2020","12 dagen","€ 315.000 kosten koper","€ 2.625","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1978","Zadeldak bedekt met pannen","120 m²","13 m²","166 m²","406 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","B Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel",NA,"166 m²",NA,"Aan park, aan rustige weg en in woonwijk","Achtertuin en voortuin","78 m² (13 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"14 m²",NA,NA,"Gas gestookt combiketel uit 2012, eigendom",NA,NA,NA,NA,NA,NA
"1416","Klavecimbellaan 53","16 juni 2020","16 juli 2020","4 weken","€ 415.000 kosten koper","€ 2.823","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2009","Zadeldak bedekt met pannen","147 m²","6 m²","167 m²","526 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen en een vliering","Buitenzonwering","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"153 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","72 m² (12 meter diep en 6 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande houten berging","Op eigen terrein",NA,"1 m²",NA,NA,"Intergas (gas gestookt combiketel uit 2009, eigendom)",NA,NA,NA,NA,NA,NA
"1417","Kronehoefstraat 50","8 september 2020","18 september 2020","10 dagen","€ 285.000 kosten koper","€ 2.227","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw","1930",NA,"128 m²","31 m²","190 m²","454 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen",NA,"C Wat betekent dit?","Dubbel glas","Cv-ketel en houtkachel","Cv-ketel",NA,"98 m²","Volle eigendom","In woonwijk","Achtertuin","100 m² (20 meter diep en 5 meter breed)","Gelegen op het zuiden","Aangebouwde stenen berging","Op eigen terrein en openbaar parkeren","4 m²",NA,"Vrijstaande stenen garage","2 auto's","Atag ( combiketel uit 2014, eigendom)",NA,NA,NA,NA,NA,NA
"1418","St Bonifaciuslaan 72","31 augustus 2020","11 september 2020","11 dagen","€ 259.000 kosten koper","€ 1.977","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1953","Zadeldak bedekt met pannen","131 m²","8 m²","156 m²","450 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Natuurlijke ventilatie",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,"156 m²","Volle eigendom","Aan park, in woonwijk en vrij uitzicht","Achtertuin en voortuin","72 m² (12 meter diep en 6 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"2 m²",NA,NA,"Vaillant (gas gestookt combiketel uit 2017, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"1419","Steenbergenstraat 35","23 mei 2020","16 juni 2020","3 weken","€ 259.000 kosten koper","€ 2.355","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","110 m²","11 m²","137 m²","370 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen",NA,NA,"Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel",NA,"137 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","40 m² (11 meter diep en 4,7 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"HR combi ketel (gas gestookt combiketel uit 2009, eigendom)",NA,NA,NA,NA,NA,NA
"1420","Stratumsedijk 29 23","2 juli 2020","21 juli 2020","2 weken","€ 200.000 kosten koper","€ 4.082","Verkocht",NA,"Bestaande bouw","2011","Plat dak bedekt met bitumineuze dakbedekking","49 m²",NA,NA,"168 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche","4 woonlagen","Lift en mechanische ventilatie","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Elektrische verwarming en gehele vloerverwarming","Elektrische boiler",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,"€ 102,00 per maand","Portiekflat (appartement)",NA
