"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"301","Bijenhofstraat 72","11 november 2020","26 november 2020","2 weken","€ 175.000 kosten koper","€ 1.458","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","120 m²","6 m²","113 m²","443 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Dakraam en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2013, eigendom)","113 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"10 m² (4,6 meter diep en 2,1 meter breed)"
"302","Paul Krugerstraat 59","5 november 2020","20 november 2020","2 weken","€ 198.000 kosten koper","€ 1.904","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1920","Zadeldak bedekt met pannen","104 m²",NA,"94 m²","389 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen",NA,"D Wat betekent dit?","Dakisolatie, grotendeels dubbelglas en vloerisolatie","Cv-ketel","Cv-ketel","Remeha Quinta (gas gestookt combiketel uit 2005, eigendom)","94 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het westen",NA,NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"22 m² (8,3 meter diep en 2,7 meter breed)"
"303","Aert van der Neerstraat 50","30 oktober 2020","2 november 2020","3 dagen","€ 207.500 kosten koper","€ 2.117","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1931","Zadeldak bedekt met pannen","98 m²","12 m²","135 m²","410 m³","4 kamers (3 slaapkamers)",NA,NA,"3 woonlagen",NA,"D Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas en muurisolatie","Cv-ketel",NA,"Renegaten Avanta 28c (gas gestookt uit 2001, eigendom)","135 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,NA,NA,NA,NA,NA,"15 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,NA
"304","De Ljepper 4","29 oktober 2020","13 november 2020","2 weken","€ 420.000 kosten koper","€ 3.206","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2018",NA,"131 m²",NA,"273 m²","480 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Dakraam, glasvezelkabel en zonnepanelen","Niet beschikbaar","Volledig geïsoleerd","Gedeeltelijke vloerverwarming en warmtepomp",NA,NA,"273 m²","Volle eigendom","Aan rustige weg, aan vaarwater en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,"Op eigen terrein en openbaar parkeren",NA,"1 m²","6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135 m² (15 meter diep en 9 meter breed)"
"305","Willem Loréstraat 16","28 november 2020","16 december 2020","2 weken","€ 97.000 kosten koper","€ 1.043","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1901","Plat dak bedekt met bitumineuze dakbedekking","93 m²",NA,"82 m²","336 m³","5 kamers (4 slaapkamers)","1 apart toilet",NA,"2 woonlagen",NA,NA,"Grotendeels dubbelglas","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2014, eigendom)","82 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het zuiden",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F Wat betekent dit?",NA,"20 m² (6,2 meter diep en 3,2 meter breed)"
"306","Obrechtstraat 7","5 oktober 2020","17 november 2020","6 weken","€ 237.500 kosten koper","€ 2.423","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","98 m²","1 m²","87 m²","337 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder","Glasvezelkabel, natuurlijke ventilatie en TV kabel","C Wat betekent dit?","Dakisolatie, grotendeels dubbelglas en muurisolatie","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2020, eigendom)","87 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"11 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"18 m² (5,45 meter diep en 2,75 meter breed)"
"307","Joram Jorkinsstraat 20","19 november 2020","30 november 2020","11 dagen","€ 339.500 kosten koper
Hypotheekadvies","€ 2.853","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2000","Zadeldak bedekt met pannen","119 m²","21 m²","402 m²","478 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad, douche en toilet","2 woonlagen en een zolder","Elektra en stromend water",NA,"Volledig geïsoleerd","Cv-ketel en warmte terugwininstallatie","Cv-ketel","Gas gestookt combiketel uit 2011, eigendom","402 m²","Volle eigendom","Aan bosrand, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het zuiden bereikbaar via achterom","Aangebouwde houten garage","1 auto",NA,NA,"1 m²","10 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"B Wat betekent dit?",NA,"220 m² (20 meter diep en 11 meter breed)"
"308","Troelstrapark 16","19 oktober 2020","7 november 2020","2 weken","€ 315.000 kosten koper","€ 2.540","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1995","Plat dak bedekt met bitumineuze dakbedekking","124 m²","14 m²","284 m²","467 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Remeha HR combiketel (gas gestookt combiketel uit 2006, eigendom)","284 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin",NA,"Gelegen op het zuiden bereikbaar via achterom","Inpandig en parkeerplaats","1 auto","Openbaar parkeren",NA,"15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143 m² (15 meter diep en 9,5 meter breed)"
"309","Humilitasstraat 22","20 november 2020","10 december 2020","2 weken","€ 350.000 kosten koper
Hypotheekadvies","€ 2.555","Verkocht","Herenhuis, hoekwoning","Bestaande bouw","2009","Lessenaardak bedekt met bitumineuze dakbedekking en pannen","137 m²",NA,"167 m²","530 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel","Intergas HR Compact 2009 (2009, eigendom)","12 m²",NA,"In woonwijk","Achtertuin en voortuin",NA,NA,"Parkeerplaats",NA,NA,NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"35 m² (5 meter diep en 7 meter breed)"
"310","Engelsestraat 2","1 augustus 2020","5 december 2020","4 maanden","€ 509.500 kosten koper","€ 2.962","Verkocht","Villa, vrijstaande woning","Bestaande bouw","1923","Zadeldak bedekt met pannen","172 m²",NA,"315 m²","600 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen, een zolder met vliering en een kelder","Elektra","Niet verplicht","Geen isolatie","Cv-ketel","Cv-ketel","Remeha Calenta HR 40C (gas gestookt combiketel uit 2015, eigendom)","315 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,NA,"8 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"138 m² (12 meter diep en 11,5 meter breed)"
"311","Oostergrachtswal 105","29 oktober 2020","23 november 2020","3 weken","€ 425.000 kosten koper","€ 3.148","Verkocht",NA,"Bestaande bouw","2005","Plat dak bedekt met bitumineuze dakbedekking","135 m²",NA,NA,"430 m³","3 kamers (2 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, 2 douches en toilet","1 woonlaag","Elektra","B Wat betekent dit?","Geen isolatie","Cv-ketel en warmte terugwininstallatie","Cv-ketel","Intergas HR (gas gestookt combiketel uit 2007, eigendom)",NA,"Volle eigendom","Aan rustige weg, in centrum, in woonwijk en vrij uitzicht","Zonneterras",NA,"Gelegen op het noorden","Carport",NA,"Op afgesloten terrein en op eigen terrein","Portiekflat (appartement)",NA,"8 m²","Dakterras aanwezig","Ja","Ja","Ja (€ 210,00 per maand)","Ja","Ja","Ja","Aangebouwde stenen berging","€ 210,00 per maand","3e woonlaag",NA,NA,NA
"312","Warmoezenierstraat 22","31 oktober 2020","16 november 2020","2 weken","€ 157.500 kosten koper","€ 1.750","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1921","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","90 m²","6 m²",NA,"350 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2001, eigendom)",NA,"Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?",NA,"20 m² (6,5 meter diep en 3 meter breed)"
"313","Pieter de Hooghstraat 19","25 november 2020","10 december 2020","2 weken","€ 175.000 kosten koper","€ 1.699","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","103 m²","8 m²","164 m²","340 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra",NA,"Dakisolatie, gedeeltelijk dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Remeha Avanta (gas gestookt uit 2018, eigendom)","164 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"3 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"F Wat betekent dit?",NA,"75 m² (15 meter diep en 5 meter breed)"
"314","Papaverstraat 4","28 oktober 2020","12 november 2020","2 weken","€ 139.500 kosten koper","€ 1.938","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met bitumineuze dakbedekking en pannen","72 m²",NA,"98 m²","240 m³","4 kamers (3 slaapkamers)","1 badkamer","Ligbad en toilet","2 woonlagen en een vliering","Glasvezelkabel, natuurlijke ventilatie en TV kabel","F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Intergas HR (gas gestookt combiketel uit 2017, eigendom)","98 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46 m² (10,15 meter diep en 4,5 meter breed)"
"315","Cambuursterpad 19","27 oktober 2020","17 november 2020","3 weken","€ 150.000 kosten koper","€ 2.381","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1924","Zadeldak bedekt met pannen","63 m²",NA,"110 m²","210 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een vliering","Glasvezelkabel, natuurlijke ventilatie en TV kabel","D 1,61 Wat betekent dit?","Dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Intergas HR (gas gestookt combiketel uit 2011, eigendom)","110 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 m² (8,9 meter diep en 5,7 meter breed)"
"316","Bouwnummer 22 (Bouwnr. 22)","7 september 2020","6 oktober 2020","4 weken","€ 220.000 vrij op naam
Hypotheekadvies","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"317","Bouwnummer 14 (Bouwnr. 14)","7 september 2020","12 oktober 2020","5 weken","€ 207.500 vrij op naam","€ 2.255","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"318","Bouwnummer 17 (Bouwnr. 17)","7 september 2020","15 oktober 2020","5 weken","€ 207.500 vrij op naam","€ 2.255","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"319","Bouwnummer 5 (Bouwnr. 5)","7 september 2020","18 november 2020","2 maanden","€ 220.000 vrij op naam","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"320","Bouwnummer 10 (Bouwnr. 10)","7 september 2020","30 oktober 2020","7 weken","€ 222.000 vrij op naam","€ 2.413","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"321","Bouwnummer 7 (Bouwnr. 7)","7 september 2020","27 oktober 2020","7 weken","€ 220.000 vrij op naam","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"322","Bouwnummer 1 (Bouwnr. 1)","7 september 2020","14 oktober 2020","5 weken","€ 234.000 vrij op naam
Hypotheekadvies","€ 2.543","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"323","Bouwnummer 2 (Bouwnr. 2)","7 september 2020","23 oktober 2020","6 weken","€ 220.000 vrij op naam","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"324","Bouwnummer 8 (Bouwnr. 8)","7 september 2020","15 oktober 2020","5 weken","€ 220.000 vrij op naam","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"325","Bouwnummer 3 (Bouwnr. 3)","7 september 2020","27 oktober 2020","7 weken","€ 220.000 vrij op naam","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"326","Bouwnummer 4 (Bouwnr. 4)","7 september 2020","5 november 2020","8 weken","€ 220.000 vrij op naam","€ 2.391","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020","Zadeldak bedekt met metaal","92 m²",NA,"60 m²","314 m³","1 kamer",NA,NA,"1 woonlaag","Elektra",NA,"Geen isolatie","Warmtepomp","Centrale voorziening",NA,NA,NA,"In woonwijk","Voortuin",NA,NA,NA,NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"A Wat betekent dit?",NA,NA
"327","Emmakade 151 A","27 oktober 2020","6 november 2020","10 dagen","€ 189.000 kosten koper","€ 2.423","Verkocht",NA,"Bestaande bouw","1996","Plat dak bedekt met bitumineuze dakbedekking","78 m²",NA,NA,"238 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Lift, mechanische ventilatie en TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit Proline NXT CW4 (gas gestookt combiketel uit 2016, eigendom)",NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,"Garagebox","1 auto","Op eigen terrein en openbaar parkeren","Bovenwoning (appartement)","5 m²","16 m²","Balkon aanwezig","Ja","Ja","Ja (€ 135,00 per maand)","Ja","Ja","Ja","Inpandig","€ 135,00 per maand",NA,NA,NA,NA
"328","Dronrijperstraat 7","3 oktober 2020","22 oktober 2020","2 weken","€ 239.500 kosten koper
Hypotheekadvies","€ 1.963","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","122 m²",NA,"163 m²","390 m³","7 kamers (5 slaapkamers)","1 apart toilet",NA,"3 woonlagen","Dakraam, glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie, rookkanaal, TV kabel en zonnepanelen",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Bosch (gas gestookt combiketel uit 2007, eigendom)","19 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"F Wat betekent dit?",NA,"72 m² (13 meter diep en 6,5 meter breed)"
"329","Wilgenroosje 23","14 juli 2020","6 augustus 2020","3 weken","€ 219.500 kosten koper","€ 1.568","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1971","Zadeldak bedekt met pannen","140 m²",NA,"184 m²","486 m³","6 kamers (4 slaapkamers)",NA,NA,"2 woonlagen en een zolder","Elektra, verwarming en stromend water","C Wat betekent dit?","Dakisolatie en muurisolatie","Cv-ketel","Cv-ketel","Intergas","29 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"63 m² (11,5 meter diep en 5,5 meter breed)"
"330","Hobbemastraat 61","23 oktober 2020","9 november 2020","2 weken","€ 310.000 kosten koper
Hypotheekadvies","€ 2.296","Verkocht","Herenhuis, 2-onder-1-kapwoning","Bestaande bouw","1938",NA,"135 m²","16 m²","219 m²","465 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, grotendeels dubbelglas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Avanta 35C CW5 (gas gestookt combiketel uit 2009, eigendom)","219 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het oosten","Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,"6 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55 m² (11 meter diep en 5 meter breed)"
"331","Schatzenburg 12","12 november 2020","19 november 2020","7 dagen","€ 299.000 kosten koper","€ 2.769","Verkocht","Eengezinswoning, geschakelde woning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","108 m²","29 m²","253 m²","480 m³","4 kamers (3 slaapkamers)",NA,NA,"2 woonlagen",NA,NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","AWB HR (gas gestookt combiketel uit 2003, eigendom)","253 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom","Garage met carport","2 auto's","Op eigen terrein",NA,"36 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"C Wat betekent dit?","1981-1990","90 m² (12 meter diep en 7,5 meter breed)"
"332","Achter de Hoven 293","10 september 2020","3 december 2020","2½ maand","€ 220.000 kosten koper
Hypotheekadvies","€ 1.384","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","159 m²",NA,"167 m²","606 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Sauna, stoomcabine, ligbad, douche en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","AWB Thermomaster 3HR (gas gestookt combiketel uit 2018, eigendom)","167 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"20 m² (5 meter diep en 4 meter breed)"
"333","Bouwnummer 9 (Bouwnr. 9)","19 juni 2020","10 december 2020","5½ maand","€ 365.000 vrij op naam","€ 2.281","Verkocht","Eengezinswoning, geschakelde woning","Nieuwbouw","2020",NA,"160 m²",NA,"154 m²","631 m³","7 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra",NA,NA,"Elektrische verwarming","Elektrische boiler",NA,NA,NA,"Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,NA,NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"A Wat betekent dit?",NA,"85 m² (13,5 meter diep en 6,3 meter breed)"
"334","Bouwkavel F2 (Bouwnr. 2)","3 juli 2020","9 december 2020","5 maanden","€ 129.900 vrij op naam",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"809 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Bouwkavel C6 (Bouwnr. 6)","3 juli 2020","10 december 2020","5 maanden","€ 389.000 vrij op naam",NA,"Verkocht",NA,NA,NA,NA,NA,NA,"3.542 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Hobbemastraat 46","24 november 2020","4 december 2020","10 dagen","€ 162.500 kosten koper","€ 1.477","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","110 m²","12 m²","110 m²","454 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","F Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel en open haard","Cv-ketel","Vaillant Combi (gas gestookt combiketel uit 2008, eigendom)","110 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"14 m² (4,5 meter diep en 3 meter breed)"
