"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"649","Paardestraat 9","1 augustus 2020","3 september 2020","4 weken","€ 129.500 kosten koper","€ 1.992","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","65 m²","4 m²","60 m²","276 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Natuurlijke ventilatie en TV kabel",NA,"Gedeeltelijk dubbel glas","Gaskachels","Cv-ketel",NA,"60 m²","Volle eigendom","In woonwijk",NA,NA,NA,NA,NA,"Openbaar parkeren",NA,NA,NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F Wat betekent dit?",NA,NA
"650","Sperwerstraat 1","2 september 2020","22 september 2020","2 weken","€ 242.000 kosten koper","€ 1.779","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1930","Dwarskap bedekt met pannen","136 m²",NA,"122 m²","521 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen en een kelder","Elektra","G Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","2014, lease","122 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,"8 m²","6 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"15 m² (5 meter diep en 3 meter breed)"
"651","Bilderdijkstraat 25","10 augustus 2020","25 september 2020","6 weken","€ 239.500 kosten koper","€ 1.996","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1954","Zadeldak bedekt met pannen","120 m²",NA,"155 m²","432 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Buitenzonwering, glasvezelkabel, natuurlijke ventilatie en TV kabel","E Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2002, eigendom)","155 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,"9 m²","11 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"74 m² (13,5 meter diep en 5,5 meter breed)"
"652","Rixtwei 122","26 augustus 2020","28 augustus 2020","2 dagen","€ 159.500 kosten koper","€ 1.876","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw",NA,"Lessenaardak bedekt met pannen","85 m²","4 m²","142 m²","331 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder","Elektra",NA,"Dakisolatie, gedeeltelijk dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel, eigendom","142 m²","Volle eigendom","Beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,NA,NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"C Wat betekent dit?","1981-1990","66 m² (12 meter diep en 5,5 meter breed)"
"653","Paulus Potterstraat 3","14 augustus 2020","2 september 2020","2 weken","€ 155.000 kosten koper
Hypotheekadvies","€ 1.615","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","96 m²",NA,"104 m²","361 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Glasvezelkabel en TV kabel",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2020, eigendom)","11 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,"F Wat betekent dit?",NA,"38 m² (12,5 meter diep en 3 meter breed)"
"654","5e Vegelindwarsstraat 21","4 september 2020","19 september 2020","2 weken","€ 195.000 kosten koper","€ 1.822","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2005","Plat dak bedekt met bitumineuze dakbedekking","107 m²",NA,"123 m²","376 m³","4 kamers (3 slaapkamers)",NA,NA,"1 woonlaag","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Warmte terugwininstallatie en warmtepomp","Elektrische boiler",NA,"123 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"6 m²","Frans balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"35 m² (9 meter diep en 5,3 meter breed)"
"655","Zuidvliet 478","3 september 2020","14 september 2020","11 dagen","€ 135.000 kosten koper","€ 2.213","Verkocht",NA,"Bestaande bouw","1984",NA,"61 m²",NA,NA,"198 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche en toilet","5 woonlagen","Glasvezelkabel, lift, mechanische ventilatie en TV kabel",NA,"Volledig geïsoleerd","Blokverwarming","Elektrische boiler (huur)",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,NA,NA,"Openbaar parkeren","Galerijflat","3 m²","6 m²",NA,"Ja","Ja","Ja (€ 205,00 per maand)","Nee","Nee","Ja","Box","€ 205,00 per maand","3e woonlaag","C Wat betekent dit?",NA,NA
"656","van Beverwijckstraat 29","5 september 2020","18 september 2020","13 dagen","€ 149.500 kosten koper","€ 1.869","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1933",NA,"80 m²","9 m²","113 m²","325 m³","4 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","2 woonlagen en een vliering",NA,NA,"Dubbel glas","Cv-ketel",NA,"Gas gestookt combiketel uit 2018","113 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,"Gelegen op het noordwesten",NA,NA,NA,NA,"11 m²",NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"F Wat betekent dit?",NA,"30 m² (10 meter diep en 3 meter breed)"
"657","Sminiastate 29","7 juli 2020","1 september 2020","8 weken","€ 209.000 kosten koper
Hypotheekadvies","€ 2.223","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1983","Zadeldak","94 m²",NA,"243 m²","339 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie en TV kabel",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel","Vaillant Hr (gas gestookt combiketel, eigendom)","243 m²","Volle eigendom","In woonwijk","Achtertuin en zijtuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom","Parkeerplaats",NA,NA,NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,"C Wat betekent dit?",NA,"70 m² (10 meter diep en 7 meter breed)"
"658","De Wijmerts 20","24 juni 2020","20 augustus 2020","8 weken","€ 345.000 kosten koper
Hypotheekadvies","€ 2.482","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2002","Zadeldak bedekt met pannen","139 m²","21 m²","300 m²","593 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektrische deur en elektra","B Wat betekent dit?","Muurisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Atag (gas gestookt combiketel uit 2015, eigendom)","300 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Op eigen terrein",NA,"56 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"90 m² (10 meter diep en 9 meter breed)"
